INFO: 2025/04/03 00:28:03 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:28:04 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:28:04 logger.go:40: Request: GET / | Duration: 330.3µs
INFO: 2025/04/03 00:28:04 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:28:04 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:28:04 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:28:05 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:28:12 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:28:39 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:28:41 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:28:42 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:28:44 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:28:48 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:28:53 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:29:06 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:29:16 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:29:18 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:29:50 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:29:50 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:29:55 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:29:56 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:29:59 logger.go:40: Request: GET / | Duration: 0s
INFO: 2025/04/03 00:30:09 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:30:32 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:30:32 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:30:33 logger.go:40: Request: GET /ws | Duration: 0s
INFO: 2025/04/03 00:30:33 logger.go:40: Request: GET /ws | Duration: 0s
